Plot Number,Plant Number,Genotype,Stem Diameter,Tap Root dimeter,Overall,Nodule Size,Nodule Density,Number Adv/Up Roots,Lateral Root Denisty Adv/Up,Angle 1 Adv/Up,Angle 2 Adv/Up,Angle 3 Adv/Up,Angle 4 Adv/Up,Angle 5 Adv/Up,Number Lower Roots,Lateral Root Denisty Lower,Angle 1 Lower,Angle 2 Lower,Angle 3 Lower,Angle 4 Lower,Angle 5 Lower
2019,1,21,15,12,3,3,3,0,0,na,na,na,na,na,22,8,20,25,35,30,35
2019,2,21,12,10,3,3,2,0,0,na,na,na,na,na,19,7,0,5,10,15,25
2019,3,21,8,3,2,2,1,0,0,na,na,na,na,na,14,5,0,5,5,10,20
2019,4,21,10,7,2,3,1,1,6,5,na,na,na,na,17,6,5,20,30,35,30
2019,5,21,15,11,3,3,2,0,0,na,na,na,na,na,22,8,10,20,20,15,15
2020,1,10,10,4,4,2,3,0,na,na,na,na,na,na,29,19,0,0,5,5,10
2020,2,10,11,6,4,3,4,0,na,na,na,na,na,na,29,24,15,15,20,20,10
2020,3,10,11,6,4,3,2,0,na,na,na,na,na,na,16,26,20,20,20,30,30
2020,4,10,9,4,4,2,4,0,na,na,na,na,na,na,32,18,5,5,5,15,15
2020,5,10,12,9,3,2,2,12,15,25,25,40,45,30,17,9,20,25,20,25,20
2021,1,20,8,6,2,2,1,0,0,na,na,na,na,na,16,8,0,5,10,20,25
2021,2,20,8,7,2,na,0,0,0,na,na,na,na,na,17,7,0,15,15,20,30
2021,3,20,10,8,3,3,2,0,0,na,na,na,na,na,18,8,5,20,20,45,40
2021,4,20,11,10,2,3,2,0,0,na,na,na,na,na,22,7,0,5,10,15,15
2021,5,20,12,10,3,3,3,4,9,0,0,5,5,na,14,10,5,5,30,25,40
2022,1,3,6,4,1,1,1,0,na,na,na,na,na,na,7,9,20,40,45,40,40
2022,2,3,7,6,1,3,2,0,na,na,na,na,na,na,23,9,5,5,10,10,10
2022,3,3,7,6,1,1,1,0,na,na,na,na,na,na,31,11,40,40,55,45,50
2022,4,3,6,5,2,1,1,0,na,na,na,na,na,na,20,8,0,5,5,10,10
2022,5,3,11,12,2,2,2,1,12,0,na,na,na,na,16,11,0,5,5,5,25
2023,1,5,15,10,3,3,3,0,0,na,na,na,na,na,15,6,0,10,20,25,30
2023,2,5,8,7,2,1,1,0,0,na,na,na,na,na,19,7,5,5,10,20,20
2023,3,5,10,10,3,3,2,0,0,na,na,na,na,na,22,10,0,0,20,20,25
2023,4,5,10,9,2,1,1,0,0,na,na,na,na,na,19,11,20,30,30,35,30
2023,5,5,10,9,2,na,0,0,0,na,na,na,na,na,25,9,20,25,10,25,30
2024,1,15,12,6,4,3,3,0,na,na,na,na,na,na,33,24,20,20,0,0,20
2024,2,15,13,6,4,3,3,1,8,0,na,na,na,na,22,11,0,0,5,5,25
2024,3,15,13,9,4,3,3,1,9,0,na,na,na,na,20,9,10,30,40,50,50
2024,4,15,14,7,4,2,2,1,11,15,na,na,na,na,24,13,35,35,45,40,40
2024,5,15,14,9,4,3,3,0,na,na,na,na,na,na,41,9,30,40,40,35,35
3001,1,5,7,4,2,3,3,0,na,na,na,na,na,na,19,12,20,20,30,25,40
3001,2,5,11,8,2,3,2,0,na,na,na,na,na,na,16,18,0,20,5,0,5
3001,3,5,9,8,3,3,3,0,na,na,na,na,na,na,17,14,0,5,0,10,30
3001,4,5,8,5,2,4,3,0,na,na,na,na,na,na,16,10,0,0,0,10,5
3001,5,5,10,9,2,3,2,0,na,na,na,na,na,na,20,8,20,15,10,20,5
3002,1,17,8,5,3,3,1,2,6,20,20,na,na,na,15,12,10,30,10,5,20
3002,2,17,9,8,2,4,3,1,5,0,na,na,na,na,15,14,20,5,0,5,30
3002,3,17,9,6,2,3,3,1,16,0,na,na,na,na,13,10,10,30,50,60,25
3002,4,17,9,5,3,3,2,0,na,na,na,na,na,na,16,16,10,20,30,25,10
3002,5,17,9,4,3,3,3,3,8,0,10,5,na,na,12,10,60,60,30,10,40
3003,1,18,13,6,2,3,2,2,12,40,20,na,na,na,9,10,50,50,45,30,30
3003,2,18,9,6,1,1,1,1,8,0,na,na,na,na,8,5,20,30,50,50,40
3003,3,18,9,7,1,3,2,2,3,20,10,na,na,na,4,8,20,20,30,30,na
3003,4,18,12,7,2,2,2,2,12,30,0,na,na,na,13,8,20,20,10,20,15
3003,5,18,9,5,1,1,1,1,2,30,na,na,na,na,5,14,10,20,30,30,20
3004,1,6,8,5,3,2,2,0,na,na,na,na,na,na,20,14,20,10,25,30,20
3004,2,6,8,7,2,2,2,0,na,na,na,na,na,na,21,12,10,30,40,10,30
3004,3,6,9,5,3,4,4,0,na,na,na,na,na,na,18,14,0,0,5,10,20
3004,4,6,6,4,2,3,2,0,na,na,na,na,na,na,10,10,40,30,30,40,25
3004,5,6,5,4,3,3,3,0,na,na,na,na,na,na,11,14,25,20,10,10,40
3005,1,23,8,7,3,3,3,0,na,na,na,na,na,na,26,12,10,5,0,30,20
3005,2,23,8,8,3,3,2,0,na,na,na,na,na,na,12,14,0,0,5,10,20
3005,3,23,10,9,2,4,2,0,na,na,na,na,na,na,17,10,10,20,0,0,10
3005,4,23,9,5,2,3,2,0,na,na,na,na,na,na,10,10,20,20,5,40,20
3005,5,23,10,7,4,3,2,0,na,na,na,na,na,na,28,12,30,20,10,20,10
3006,1,8,12,7,3,2,2,5,4,0,10,5,10,na,26,12,10,0,20,20,30
3006,2,8,11,8,2,2,2,8,13,40,30,20,30,15,17,14,5,20,15,10,20
3006,3,8,11,4,2,1,1,1,3,5,na,na,na,na,29,9,5,10,10,5,5
3006,4,8,4,5,3,2,3,0,na,na,na,na,na,na,32,7,30,35,40,20,40
3006,5,8,4,4,4,3,3,0,na,na,na,na,na,na,32,9,10,10,5,5,10
3007,1,12,11,10,2,1,1,14,6,0,15,15,20,20,22,14,20,20,25,25,25
3007,2,12,10,8,1,2,1,8,10,15,0,5,5,15,23,16,0,5,20,15,10
3007,3,12,12,11,1,1,1,2,4,15,15,na,na,na,13,14,20,30,35,25,25
3007,4,12,6,4,1,1,1,1,5,0,na,na,na,na,15,5,20,70,65,60,35
3007,5,12,7,6,2,3,2,8,10,5,5,10,10,5,34,15,20,20,10,10,20
3008,1,1,12,8,1,2,1,0,na,na,na,na,na,na,11,14,5,25,20,20,5
3008,2,1,14,8,2,3,3,1,7,20,na,na,na,na,16,18,20,10,20,20,10
3008,3,1,14,9,2,3,1,0,na,na,na,na,na,na,15,14,0,10,10,30,20
3008,4,1,11,7,1,2,1,1,8,0,na,na,na,na,7,12,10,0,50,5,0
3008,5,1,14,10,1,3,2,2,10,30,20,na,na,na,13,12,0,0,20,20,20
3009,1,2,18,10,3,3,2,0,na,na,na,na,na,na,12,10,30,30,10,10,20
